dataset,split,ms_representation,mol_representation,SWD
massspecgym,formula_seed4,bins,moldeberta_base_123m_mtr,0.0005304745738345547
massspecgym,murcko_seed0,bins,moldeberta_base_123m_mtr,0.0009051662575609977
massspecgym,murcko_seed1,bins,moldeberta_base_123m_mtr,0.000904175779697328
massspecgym,murcko_seed2,bins,moldeberta_base_123m_mtr,0.000750134120281683
massspecgym,murcko_seed3,bins,moldeberta_base_123m_mtr,0.000953549700657939
massspecgym,murcko_seed4,bins,moldeberta_base_123m_mtr,0.0007449325124736823
massspecgym,mces_1,bins,moldeberta_base_123m_mtr,0.001403501790174571
massspecgym,mces_2,bins,moldeberta_base_123m_mtr,0.0016116707256651935
massspecgym,murcko_hist_seed0,bins,moldeberta_base_123m_mtr,0.0022277556140182187
massspecgym,murcko_hist_seed1,bins,moldeberta_base_123m_mtr,0.0024113055195136655
massspecgym,murcko_hist_seed2,bins,moldeberta_base_123m_mtr,0.0009328092548978261
massspecgym,murcko_hist_seed3,bins,moldeberta_base_123m_mtr,0.0019967141105708174
massspecgym,murcko_hist_seed4,bins,moldeberta_base_123m_mtr,0.00161218726248457
massspecgym,random_seed0,dreams,moldeberta_base_123m_mtr,0.0002922104343772482
massspecgym,random_seed1,dreams,moldeberta_base_123m_mtr,0.0002853900811326231
massspecgym,random_seed2,dreams,moldeberta_base_123m_mtr,0.00030450318916014775
massspecgym,random_seed3,dreams,moldeberta_base_123m_mtr,0.0003182091619119638
massspecgym,random_seed4,dreams,moldeberta_base_123m_mtr,0.000299161628840828
massspecgym,inchi_seed0,dreams,moldeberta_base_123m_mtr,0.0012850133160769565
massspecgym,inchi_seed1,dreams,moldeberta_base_123m_mtr,0.0012575011214843502
massspecgym,inchi_seed2,dreams,moldeberta_base_123m_mtr,0.0014723386127885381
massspecgym,inchi_seed3,dreams,moldeberta_base_123m_mtr,0.001264926739016388
massspecgym,inchi_seed4,dreams,moldeberta_base_123m_mtr,0.0013773600792811743
massspecgym,formula_seed0,dreams,moldeberta_base_123m_mtr,0.0016707757883988577
massspecgym,formula_seed1,dreams,moldeberta_base_123m_mtr,0.0012715519924726521
